SampleID,GroupID,中文名,Species,Scientific.name.,DomesticationStatus,Organ,Province,Area,Batch,Transcriptome,Virume,longitude,latitude,GenomeName
BC-C-31,BC,拜城油鸡,Chicken,Gallus Gallus,Domestic,Cecum,Xinjiang,Northwest,Second,RNA-seq,Virus-seq,82,42,bGalGal1_mat_broiler_GRCg7b
BC-C-32,BC,拜城油鸡,Chicken,Gallus Gallus,Domestic,Cecum,Xinjiang,Northwest,Second,RNA-seq,Virus-seq,82,42,bGalGal1_mat_broiler_GRCg7b
BC-C-33,BC,拜城油鸡,Chicken,Gallus Gallus,Domestic,Cecum,Xinjiang,Northwest,Second,RNA-seq,Virus-seq,82,42,bGalGal1_mat_broiler_GRCg7b
BC-C-34,BC,拜城油鸡,Chicken,Gallus Gallus,Domestic,Cecum,Xinjiang,Northwest,Second,RNA-seq,Virus-seq,82,42,bGalGal1_mat_broiler_GRCg7b
BC-C-35,BC,拜城油鸡,Chicken,Gallus Gallus,Domestic,Cecum,Xinjiang,Northwest,Second,RNA-seq,Virus-seq,82,42,bGalGal1_mat_broiler_GRCg7b
BR-C-1,BR,商业肉鸡,Chicken,Gallus Gallus,Commercial,Cecum,Beijing,HuaihaiPlain,First,RNA-seq,Virus-seq,117.2,40,bGalGal1_mat_broiler_GRCg7b
BR-C-2,BR,商业肉鸡,Chicken,Gallus Gallus,Commercial,Cecum,Beijing,HuaihaiPlain,First,RNA-seq,Virus-seq,117.2,40,bGalGal1_mat_broiler_GRCg7b
BR-C-3,BR,商业肉鸡,Chicken,Gallus Gallus,Commercial,Cecum,Beijing,HuaihaiPlain,First,RNA-seq,Virus-seq,117.2,40,bGalGal1_mat_broiler_GRCg7b
HX-C-31,HX,惠阳胡须鸡,Chicken,Gallus Gallus,Domestic,Cecum,Guangdong,Southeast,Second,RNA-seq,Virus-seq,114.13,23.5,bGalGal1_mat_broiler_GRCg7b
HX-C-32,HX,惠阳胡须鸡,Chicken,Gallus Gallus,Domestic,Cecum,Guangdong,Southeast,Second,RNA-seq,Virus-seq,114.13,23.5,bGalGal1_mat_broiler_GRCg7b
HX-C-33,HX,惠阳胡须鸡,Chicken,Gallus Gallus,Domestic,Cecum,Guangdong,Southeast,Second,RNA-seq,Virus-seq,114.13,23.5,bGalGal1_mat_broiler_GRCg7b
HX-C-34,HX,惠阳胡须鸡,Chicken,Gallus Gallus,Domestic,Cecum,Guangdong,Southeast,Second,RNA-seq,Virus-seq,114.13,23.5,bGalGal1_mat_broiler_GRCg7b
HX-C-35,HX,惠阳胡须鸡,Chicken,Gallus Gallus,Domestic,Cecum,Guangdong,Southeast,Second,RNA-seq,Virus-seq,114.13,23.5,bGalGal1_mat_broiler_GRCg7b
# LHJ-C-31,LHJ,芦花鸡,Chicken,Gallus Gallus,Domestic,Cecum,Shandong,HuaihaiPlain,Second,RNA-seq,Virus-seq,116.51,35.65,bGalGal1_mat_broiler_GRCg7b
